CODIGOCIE,ESCOLA,DIRETORIA,MUNICIPIO,SERIE,IDPort,IDMat,IndDesemp,IndFluxo,IDESP,META,ORDEM,_REGICAO_NOME,_ANO,_DIRETORIA_ID,_MUNICIPIO_ID,_ESCOLA_ID,_ERROR_ID,_ERROR_INFOS,error_id,request_data
020722,EGLE LUPORINI COSTA PROFESSORA,SAO JOAO DA BOA VISTA,AGUAI,3º ANO EM,"2,6850","1,1113","1,90","0,9526","1,81",,3.0,INTERIOR,2021,20413,152,020722,,,,
043576,PEDRO AMAURI SILVA PROFESSOR,SAO JOAQUIM DA BARRA,SAO JOAQUIM DA BARRA,5º ANO EF,"4,7763","3,7603","4,27","1,0000","4,27",,1.0,INTERIOR,2021,20510,642,043576,,,,
024715,MANOEL GOUVEIA DE LIMA,SAO JOAQUIM DA BARRA,SAO JOAQUIM DA BARRA,9º ANO EF,"3,3797","2,7317","3,06","1,0000","3,06",,2.0,INTERIOR,2021,20510,642,024715,,,,
024715,MANOEL GOUVEIA DE LIMA,SAO JOAQUIM DA BARRA,SAO JOAQUIM DA BARRA,3º ANO EM,"2,6723","1,3217","2,00","1,0000","2,00",,3.0,INTERIOR,2021,20510,642,024715,,,,
043588,GRAZIELA MALHEIRO FORTES PROFESSORA,SAO JOAQUIM DA BARRA,SAO JOAQUIM DA BARRA,9º ANO EF,"4,2287","3,3830","3,81","1,0000","3,81",,2.0,INTERIOR,2021,20510,642,043588,,,,
024703,GENOVEVA PINHEIRO VIEIRA DE VITTA PROFESSORA,SAO JOAQUIM DA BARRA,SAO JOAQUIM DA BARRA,9º ANO EF,"2,9560","2,0127","2,48","1,0000","2,48",,2.0,INTERIOR,2021,20510,642,024703,,,,
024703,GENOVEVA PINHEIRO VIEIRA DE VITTA PROFESSORA,SAO JOAQUIM DA BARRA,SAO JOAQUIM DA BARRA,3º ANO EM,"2,4270","1,2280","1,83","0,9575","1,75",,3.0,INTERIOR,2021,20510,642,024703,,,,
019318,FERNANDO MAGALHAES PROFESSOR,SAO JOAO DA BOA VISTA,CACONDE,9º ANO EF,"3,6197","3,1903","3,41","1,0000","3,41",,2.0,INTERIOR,2021,20413,236,019318,,,,
019318,FERNANDO MAGALHAES PROFESSOR,SAO JOAO DA BOA VISTA,CACONDE,3º ANO EM,"3,2603","1,6667","2,46","0,9958","2,45",,3.0,INTERIOR,2021,20413,236,019318,,,,
912098,EDDA CARDOZO DE SOUZA MARCUSSI,SAO JOAQUIM DA BARRA,SAO JOAQUIM DA BARRA,9º ANO EF,"2,5797","2,1427","2,36","1,0000","2,36",,2.0,INTERIOR,2021,20510,642,912098,,,,
912098,EDDA CARDOZO DE SOUZA MARCUSSI,SAO JOAQUIM DA BARRA,SAO JOAQUIM DA BARRA,3º ANO EM,"1,9667","1,0930","1,53","1,0000","1,53",,3.0,INTERIOR,2021,20510,642,912098,,,,
900321,JOSE BENEDITO GONCALVES PROF,ITU,SALTO,5º ANO EF,"6,4683","5,9530","6,21","0,9830","6,10","6,34",1.0,INTERIOR,2019,20306,600,900321,,,,
914174,JOANNA DI FELIPPE PROFESSORA,SAO JOAO DA BOA VISTA,ESPIRITO SANTO DO PINHAL,9º ANO EF,"1,6667","1,6667","1,67","1,0000","1,67",,2.0,INTERIOR,2021,20413,530,914174,,,,
